title,wiki_page,category,has_female_protagonist,evidence_type,evidence_sentence
Paranormal Tales,https://en.wikipedia.org/wiki/Paranormal_Tales,,False,,
Phasmophobia (video game),https://en.wikipedia.org/wiki/Phasmophobia_%28video_game%29,Video games about ghosts,False,,
R-Type Delta,https://en.wikipedia.org/wiki/R-Type_Delta,,False,,
R-Type Final,https://en.wikipedia.org/wiki/R-Type_Final,,False,,
Radiolight,https://en.wikipedia.org/wiki/Radiolight,,False,,
Realms of the Haunting,https://en.wikipedia.org/wiki/Realms_of_the_Haunting,Video games about demons; 1990s horror video games,False,,
Remothered: Tormented Fathers,https://en.wikipedia.org/wiki/Remothered%3A_Tormented_Fathers,Survival horror video games; 2010s horror video games; Psychological horror games,False,,
Requiem: Avenging Angel,https://en.wikipedia.org/wiki/Requiem%3A_Avenging_Angel,,False,,
Resident Evil 1.5,https://en.wikipedia.org/wiki/Resident_Evil_1.5,Survival horror video games; Resident Evil games,False,,
Rusty (video game),https://en.wikipedia.org/wiki/Rusty_%28video_game%29,Video games about vampires; Video games about zombies,True,control+female_term,"rusty is a side-scrolling action game in which the player takes the role of rustea ""rusty"" sprincul, a vampire huntress who together with her owl companion investigates a case of women who have disappeared from various villages in the countryside"
S.T.A.L.K.E.R.: Clear Sky,https://en.wikipedia.org/wiki/S.T.A.L.K.E.R.%3A_Clear_Sky,Survival horror video games; S.T.A.L.K.E.R.,False,,
Sad Satan,https://en.wikipedia.org/wiki/Sad_Satan,,True,control+female_term,"adding to the game's theme of child abuse , the doors ' rendition of "" alabama song "" can also be heard, starting with the verse ""show me the way to the next little girl."" while the player controls their character through the hallways, images may intermittently display, taking up the entire screen and preventing the player from progressing any further until the image automatically closes a few seconds later"
Sally Face,https://en.wikipedia.org/wiki/Sally_Face,Video games about ghosts,False,,
SCP – Containment Breach,https://en.wikipedia.org/wiki/SCP_%E2%80%93_Containment_Breach,Survival horror video games,False,,
Shadow Man: 2econd Coming,https://en.wikipedia.org/wiki/Shadow_Man%3A_2econd_Coming,Video games about zombies,False,,
Shadow of the Comet,https://en.wikipedia.org/wiki/Shadow_of_the_Comet,Cthulhu Mythos video games; Video games based on The Shadow over Innsmouth,False,,
Shadowgate,https://en.wikipedia.org/wiki/Shadowgate,Dark fantasy video games,False,,
The Shore (video game),https://en.wikipedia.org/wiki/The_Shore_%28video_game%29,,False,,
Singularity (video game),https://en.wikipedia.org/wiki/Singularity_%28video_game%29,,False,,
Skull Cracker,https://en.wikipedia.org/wiki/Skull_Cracker,,False,,
Slender Rising,https://en.wikipedia.org/wiki/Slender_Rising,,False,,
Spirit Hunter: Death Mark II,https://en.wikipedia.org/wiki/Spirit_Hunter%3A_Death_Mark_II,,False,,
SpongeBob SquarePants: Creature from the Krusty Krab,https://en.wikipedia.org/wiki/SpongeBob_SquarePants%3A_Creature_from_the_Krusty_Krab,2000s horror video games,False,,
Stairs (video game),https://en.wikipedia.org/wiki/Stairs_%28video_game%29,Psychological horror games,False,,
Stasis (video game),https://en.wikipedia.org/wiki/Stasis_%28video_game%29,Science fiction horror video games,False,,
State of Decay,https://en.wikipedia.org/wiki/State_of_Decay,Video games about zombies,False,,
Swagman (video game),https://en.wikipedia.org/wiki/Swagman_%28video_game%29,,False,,
Sweet Pool,https://en.wikipedia.org/wiki/Sweet_Pool,,False,,
Syndrome (video game),https://en.wikipedia.org/wiki/Syndrome_%28video_game%29,Survival horror video games; 2010s horror video games; Psychological horror games,False,,
Transference (video game),https://en.wikipedia.org/wiki/Transference_%28video_game%29,,False,,
Voices of the Void,https://en.wikipedia.org/wiki/Voices_of_the_Void,,False,,
The Wardrobe (video game),https://en.wikipedia.org/wiki/The_Wardrobe_%28video_game%29,Video games about skeletons,False,,
Your Turn to Die -Death Game by Majority-,https://en.wikipedia.org/wiki/Your_Turn_to_Die_-Death_Game_by_Majority-,Psychological horror games,False,,
Akalabeth: World of Doom,https://en.wikipedia.org/wiki/Akalabeth%3A_World_of_Doom,1970s horror video games,False,,
The Count (video game),https://en.wikipedia.org/wiki/The_Count_%28video_game%29,Video games based on Dracula; 1970s horror video games,False,,
Death Race (1976 video game),https://en.wikipedia.org/wiki/Death_Race_%281976_video_game%29,1970s horror video games,False,,
Dungeon of Death,https://en.wikipedia.org/wiki/Dungeon_of_Death,1970s horror video games; Dark fantasy role-playing video games,False,,
HAUNT,https://en.wikipedia.org/wiki/HAUNT,1970s horror video games,False,,
Heiankyo Alien,https://en.wikipedia.org/wiki/Heiankyo_Alien,1970s horror video games,False,,
Hunt the Wumpus,https://en.wikipedia.org/wiki/Hunt_the_Wumpus,1970s horror video games,False,,
Pyramid of Doom,https://en.wikipedia.org/wiki/Pyramid_of_Doom,1970s horror video games,False,,
Voodoo Castle,https://en.wikipedia.org/wiki/Voodoo_Castle,1970s horror video games,False,,
3D Monster Maze,https://en.wikipedia.org/wiki/3D_Monster_Maze,Survival horror video games; 1980s horror video games,False,,
Abadox,https://en.wikipedia.org/wiki/Abadox,1980s horror video games,False,,
Alien (1982 video game),https://en.wikipedia.org/wiki/Alien_%281982_video_game%29,Pac-Man clones; Alien (franchise) games; 1980s horror video games,False,,
Alien (1984 video game),https://en.wikipedia.org/wiki/Alien_%281984_video_game%29,Alien (franchise) games; 1980s horror video games,False,,
Alien (Avalon Hill),https://en.wikipedia.org/wiki/Alien_%28Avalon_Hill%29,1980s horror video games,False,,
Aliens: The Computer Game (UK Version),https://en.wikipedia.org/wiki/Aliens%3A_The_Computer_Game_%28UK_Version%29,Alien (franchise) games; 1980s horror video games,False,,
Aliens: The Computer Game (US Version),https://en.wikipedia.org/wiki/Aliens%3A_The_Computer_Game_%28US_Version%29,Alien (franchise) games; 1980s horror video games,False,,
Castle of Terror,https://en.wikipedia.org/wiki/Castle_of_Terror,Video games about vampires; 1980s horror video games,False,,
Castlevania (1986 video game),https://en.wikipedia.org/wiki/Castlevania_%281986_video_game%29,Castlevania games; 1980s horror video games,False,,
Castlevania II: Simon's Quest,https://en.wikipedia.org/wiki/Castlevania_II%3A_Simon%27s_Quest,Castlevania games; 1980s horror video games,False,,
Castlevania III: Dracula's Curse,https://en.wikipedia.org/wiki/Castlevania_III%3A_Dracula%27s_Curse,Castlevania games; 1980s horror video games,False,,
Castlevania: The Adventure,https://en.wikipedia.org/wiki/Castlevania%3A_The_Adventure,Castlevania games; 1980s horror video games,False,,
Chiller (video game),https://en.wikipedia.org/wiki/Chiller_%28video_game%29,1980s horror video games,False,,
Creature Venture,https://en.wikipedia.org/wiki/Creature_Venture,1980s horror video games,False,,
Don't Go Alone,https://en.wikipedia.org/wiki/Don%27t_Go_Alone,1980s horror video games,False,,
Dracula (1983 video game),https://en.wikipedia.org/wiki/Dracula_%281983_video_game%29,Video games based on Dracula; 1980s horror video games,False,,
Dracula (1986 video game),https://en.wikipedia.org/wiki/Dracula_%281986_video_game%29,Video games based on Dracula; Video games about vampires; 1980s horror video games,False,,
The Evil Dead (video game),https://en.wikipedia.org/wiki/The_Evil_Dead_%28video_game%29,Video games about demons; The Evil Dead (franchise) video games; 1980s horror video games,False,,
Friday the 13th (1989 video game),https://en.wikipedia.org/wiki/Friday_the_13th_%281989_video_game%29,Friday the 13th (franchise) video games; 1980s horror video games,False,,
Friday the 13th: The Computer Game,https://en.wikipedia.org/wiki/Friday_the_13th%3A_The_Computer_Game,Friday the 13th (franchise) video games; 1980s horror video games,False,,
Fright Night (video game),https://en.wikipedia.org/wiki/Fright_Night_%28video_game%29,Video games about vampires; 1980s horror video games,False,,
Ghost House (video game),https://en.wikipedia.org/wiki/Ghost_House_%28video_game%29,Video games about vampires; 1980s horror video games,False,,
Halloween (video game),https://en.wikipedia.org/wiki/Halloween_%28video_game%29,1980s horror video games,False,,
Haunted Castle (video game),https://en.wikipedia.org/wiki/Haunted_Castle_%28video_game%29,Castlevania games; 1980s horror video games,False,,
Haunted House (video game),https://en.wikipedia.org/wiki/Haunted_House_%28video_game%29,1980s horror video games,False,,
It Came from the Desert,https://en.wikipedia.org/wiki/It_Came_from_the_Desert,1980s horror video games,True,control+female_term,"the storyline and characters were dramatically changed; the player character is no longer a spry scientist from the city visiting the countryside, but a local teenage biker punk named buzz lincoln who is somehow immune to the ant queen's mind control and begins a nearly hopeless counterattack against her hordes"
Jack the Ripper (1987 video game),https://en.wikipedia.org/wiki/Jack_the_Ripper_%281987_video_game%29,1980s horror video games,False,,
Laplace no Ma,https://en.wikipedia.org/wiki/Laplace_no_Ma,1980s horror video games,False,,
The Lurking Horror,https://en.wikipedia.org/wiki/The_Lurking_Horror,1980s horror video games,False,,
Monster Party,https://en.wikipedia.org/wiki/Monster_Party,1980s horror video games,False,,
Mystery House,https://en.wikipedia.org/wiki/Mystery_House,1980s horror video games,False,,
Nosferatu the Vampyre (video game),https://en.wikipedia.org/wiki/Nosferatu_the_Vampyre_%28video_game%29,Video games based on Dracula; Gothic video games; Video games about vampires; 1980s horror video games,False,,
Onryō Senki,https://en.wikipedia.org/wiki/Onry%C5%8D_Senki,1980s horror video games,False,,
Personal Nightmare,https://en.wikipedia.org/wiki/Personal_Nightmare,Video games about vampires; 1980s horror video games,False,,
Project Firestart,https://en.wikipedia.org/wiki/Project_Firestart,1980s horror video games,False,,
Soft & Cuddly,https://en.wikipedia.org/wiki/Soft_%26_Cuddly,1980s horror video games,False,,
Splatterhouse,https://en.wikipedia.org/wiki/Splatterhouse,Video games about demons; Video games about zombies; 1980s horror video games,False,,
Splatterhouse: Wanpaku Graffiti,https://en.wikipedia.org/wiki/Splatterhouse%3A_Wanpaku_Graffiti,1980s horror video games,False,,
Sweet Home (video game),https://en.wikipedia.org/wiki/Sweet_Home_%28video_game%29,Video games about zombies; 1980s horror video games,False,,
The Texas Chainsaw Massacre (1983 video game),https://en.wikipedia.org/wiki/The_Texas_Chainsaw_Massacre_%281983_video_game%29,1980s horror video games,False,,
Transylvania (video game),https://en.wikipedia.org/wiki/Transylvania_%28video_game%29,Werewolf video games; Video games about vampires; 1980s horror video games,False,,
Uninvited (video game),https://en.wikipedia.org/wiki/Uninvited_%28video_game%29,1980s horror video games,False,,
Vampire Killer,https://en.wikipedia.org/wiki/Vampire_Killer,Castlevania games; 1980s horror video games,False,,
Weird Dreams,https://en.wikipedia.org/wiki/Weird_Dreams,1980s horror video games,False,,
Wicked (video game),https://en.wikipedia.org/wiki/Wicked_%28video_game%29,1980s horror video games,False,,
Windsloe Mansion,https://en.wikipedia.org/wiki/Windsloe_Mansion,1980s horror video games,False,,
Zombi (1986 video game),https://en.wikipedia.org/wiki/Zombi_%281986_video_game%29,Video games about zombies; 1980s horror video games,False,,
3-D Ultra Pinball: Creep Night,https://en.wikipedia.org/wiki/3-D_Ultra_Pinball%3A_Creep_Night,1990s horror video games,False,,
The 7th Guest,https://en.wikipedia.org/wiki/The_7th_Guest,Video games about ghosts; 1990s horror video games,False,,
The 11th Hour (video game),https://en.wikipedia.org/wiki/The_11th_Hour_%28video_game%29,1990s horror video games,False,,
Alien Breed: Tower Assault,https://en.wikipedia.org/wiki/Alien_Breed%3A_Tower_Assault,Alien Breed; 1990s horror video games; Science fiction horror video games,False,,
Alien vs Predator (Atari Jaguar video game),https://en.wikipedia.org/wiki/Alien_vs_Predator_%28Atari_Jaguar_video_game%29,Alien vs. Predator (franchise) games; 1990s horror video games,False,,
Aliens (1990 video game),https://en.wikipedia.org/wiki/Aliens_%281990_video_game%29,Alien (franchise) games; 1990s horror video games,False,,
Aliens: A Comic Book Adventure,https://en.wikipedia.org/wiki/Aliens%3A_A_Comic_Book_Adventure,Alien (franchise) games; 1990s horror video games,False,,
Alone in the Dark (1992 video game),https://en.wikipedia.org/wiki/Alone_in_the_Dark_%281992_video_game%29,Alone in the Dark; Video games about zombies; 1990s horror video games; Cthulhu Mythos video games,True,explicit_phrase,Contains explicit phrase 'female protagonist'.
Alone in the Dark 2 (video game),https://en.wikipedia.org/wiki/Alone_in_the_Dark_2_%28video_game%29,Alone in the Dark; 1990s horror video games,False,,
Alone in the Dark 3,https://en.wikipedia.org/wiki/Alone_in_the_Dark_3,Alone in the Dark; 1990s horror video games; Video games about zombies,False,,
Anchorhead,https://en.wikipedia.org/wiki/Anchorhead,Cthulhu Mythos video games; 1990s horror video games; Video games based on The Shadow over Innsmouth,True,control+female_term,"an epilogue shows that the protagonist is pregnant, raising concern that croesus may attempt to possess her child if it is a son"
Banshee's Last Cry,https://en.wikipedia.org/wiki/Banshee%27s_Last_Cry,1990s horror video games; Psychological horror games,False,,
Blood (video game),https://en.wikipedia.org/wiki/Blood_%28video_game%29,Video games about demons; 1990s horror video games; Dark fantasy video games; Gothic video games,False,,
Blood II: The Chosen,https://en.wikipedia.org/wiki/Blood_II%3A_The_Chosen,1990s horror video games,False,,
BloodNet,https://en.wikipedia.org/wiki/BloodNet,1990s horror video games; Video games about vampires,False,,
Bloodwings: Pumpkinhead's Revenge,https://en.wikipedia.org/wiki/Bloodwings%3A_Pumpkinhead%27s_Revenge,Video games about demons; 1990s horror video games,False,,
Bram Stoker's Dracula (handheld video game),https://en.wikipedia.org/wiki/Bram_Stoker%27s_Dracula_%28handheld_video_game%29,Video games based on Dracula; 1990s horror video games,False,,
Bram Stoker's Dracula (video game),https://en.wikipedia.org/wiki/Bram_Stoker%27s_Dracula_%28video_game%29,Video games based on Dracula; 1990s horror video games,False,,
Bureau 13 (video game),https://en.wikipedia.org/wiki/Bureau_13_%28video_game%29,1990s horror video games; Video games about vampires,False,,
Castlevania II: Belmont's Revenge,https://en.wikipedia.org/wiki/Castlevania_II%3A_Belmont%27s_Revenge,1990s horror video games; Castlevania games,False,,
Castlevania Legends,https://en.wikipedia.org/wiki/Castlevania_Legends,1990s horror video games; Castlevania games,False,,
Castlevania: Bloodlines,https://en.wikipedia.org/wiki/Castlevania%3A_Bloodlines,1990s horror video games; Castlevania games,False,,
Castlevania: Dracula X,https://en.wikipedia.org/wiki/Castlevania%3A_Dracula_X,1990s horror video games; Castlevania games,False,,
Castlevania: Rondo of Blood,https://en.wikipedia.org/wiki/Castlevania%3A_Rondo_of_Blood,1990s horror video games; Castlevania games,False,,
Castlevania: Symphony of the Night,https://en.wikipedia.org/wiki/Castlevania%3A_Symphony_of_the_Night,1990s horror video games; Castlevania games,False,,
Clock Tower (1995 video game),https://en.wikipedia.org/wiki/Clock_Tower_%281995_video_game%29,Clock Tower (series); 1990s horror video games,False,,
Clock Tower (1996 video game),https://en.wikipedia.org/wiki/Clock_Tower_%281996_video_game%29,Clock Tower (series); 1990s horror video games; Psychological horror games,False,,
Corpse Party,https://en.wikipedia.org/wiki/Corpse_Party,Video games about ghosts; Video games about spirit possession; 2000s horror video games; 1990s horror video games; 2010s horror video games,False,,
Corpse Party (1996 video game),https://en.wikipedia.org/wiki/Corpse_Party_%281996_video_game%29,Video games about ghosts; 1990s horror video games,False,,
Countdown Vampires,https://en.wikipedia.org/wiki/Countdown_Vampires,1990s horror video games; Video games about vampires,False,,
D (video game),https://en.wikipedia.org/wiki/D_%28video_game%29,Video games about cannibalism; 1990s horror video games; Video games about vampires,False,,
D2 (video game),https://en.wikipedia.org/wiki/D2_%28video_game%29,Survival horror video games; 1990s horror video games; Video games about zombies,False,,
Dangerous Dave in the Haunted Mansion,https://en.wikipedia.org/wiki/Dangerous_Dave_in_the_Haunted_Mansion,1990s horror video games,False,,
Dark Seed (video game),https://en.wikipedia.org/wiki/Dark_Seed_%28video_game%29,1990s horror video games; Psychological horror games,False,,
Dark Seed II,https://en.wikipedia.org/wiki/Dark_Seed_II,1990s horror video games; Psychological horror games,False,,
Dead of the Brain,https://en.wikipedia.org/wiki/Dead_of_the_Brain,1990s horror video games; Video games about zombies,False,,
Deep Fear,https://en.wikipedia.org/wiki/Deep_Fear,Survival horror video games; 1990s horror video games,False,,
Dino Crisis (video game),https://en.wikipedia.org/wiki/Dino_Crisis_%28video_game%29,Dino Crisis; Survival horror video games; 1990s horror video games,False,,
Divi-Dead,https://en.wikipedia.org/wiki/Divi-Dead,1990s horror video games,False,,
